N	3gram	Losev_Dial_3	StatiiOP
1	в том что	3	11
2	не может быть	6	5
3	о том что	5	4
4	с другой стороны	2	4
5	в то время	4	4
6	в этом отношении	1	4
7	с точки зрения	14	4
8	то время как	4	4
9	во всяком случае	2	4
10	по крайней мере	5	4
11	в то же	1	3
12	то же время	1	3
13	на то что	3	3
14	в связи с	1	3
15	не в том	1	3
16	с одной стороны	3	2
17	только тогда когда	3	2
18	только в виде	1	2
19	и пр в	1	2
20	что мы имеем	1	2
21	до сих пор	1	2
22	и в этом	2	2
23	что это есть	2	2
24	к тому что	2	2
25	в каком смысле	3	2
26	в том смысле	1	2
27	и тем не	2	2
28	мы имеем в	1	2
29	а потому что	1	2
30	тем не менее	10	2
31	и т д	23	2
32	в лучшем случае	1	1
33	а то что	1	1
34	из этих двух	1	1
35	том смысле что	1	1
36	связи с этим	1	1
37	но то что	2	1
38	сам по себе	5	1
39	в одном из	1	1
40	одной и той	1	1
41	что в них	1	1
42	и во всяком	1	1
43	и в частности	1	1
44	это не может	1	1
45	не только не	7	1
46	но может быть	1	1
47	от того что	1	1
48	для себя и	1	1
49	а кроме того	1	1
50	что в ней	1	1
51	ни на что	1	1
52	иметь в виду	2	1
53	на самом деле	1	1
54	того или другого	1	1
55	то есть и	1	1
56	потому что в	1	1
57	то же самое	1	1
58	тот или иной	2	1
59	в особенности это	1	1
60	т е не	4	1
61	и ни в	1	1
62	речь идет о	1	1
63	этой точки зрения	2	1
64	и с этим	1	1
65	я думаю что	1	1
66	и они вполне	1	1
67	у нас не	1	1
68	так или иначе	2	1
69	того что он	3	1
70	и той же	1	1
71	он не может	2	1
72	прежде всего от	3	1
73	более или менее	1	1
74	той или иной	2	1
75	не менее в	1	1
76	в применении к	1	1
77	говоря уже о	2	1
78	и больше ничего	4	1
79	в самом деле	5	1
80	на особого рода	1	1
81	вопрос что такое	1	1
82	что у него	1	1
83	это есть не	1	1
84	точка зрения которая	1	1
85	в такой же	1	1
86	так чтобы и	1	1
87	не говоря уже	2	1
88	в них как	1	1
89	но так как	1	1
90	а иногда и	1	1
91	и что он	1	1
92	и что такое	3	1
93	исторического процесса в	1	1
94	с этой точки	2	1
95	что это такое	1	1
