N	3gram	Tiupa_Lite_1	StatiiOP
1	в борисе годунове	1	38
2	в том что	11	11
3	не может быть	1	5
4	о том что	2	4
5	с другой стороны	1	4
6	в этом отношении	2	4
7	с точки зрения	2	4
8	как например в	1	4
9	во всяком случае	2	4
10	по крайней мере	1	4
11	может быть это	3	3
12	в начале xix	1	3
13	начале xix века	1	3
14	в то же	5	3
15	то же время	5	3
16	на то что	1	3
17	не только в	4	3
18	в связи с	4	3
19	прежде всего в	3	3
20	состоит в том	5	3
21	с одной стороны	2	2
22	с самого начала	1	2
23	во время чумы	1	2
24	а с другой	1	2
25	нельзя сказать что	1	2
26	до сих пор	1	2
27	по этому поводу	1	2
28	между тем как	1	2
29	и в этом	1	2
30	тем более что	1	2
31	в русской поэзии	1	2
32	то что я	1	2
33	может быть назван	1	2
34	но все же	1	2
35	тем что в	1	2
36	все более и	1	2
37	тем не менее	2	2
38	моцарта и сальери	1	2
39	более и более	1	2
40	в этом и	1	1
41	в лучшем случае	1	1
42	том что не	1	1
43	в том же	3	1
44	борисе годунове и	1	1
45	и у пушкина	1	1
46	как в наше	1	1
47	по большей части	1	1
48	между прочим и	1	1
49	в одной из	1	1
50	хотя бы на	1	1
51	и в частности	1	1
52	по этому пути	1	1
53	а то и	1	1
54	своих современников в	1	1
55	на мой взгляд	1	1
56	и мн др	1	1
57	между этими тремя	1	1
58	представляют собой лишь	1	1
59	во многих случаях	1	1
60	но может быть	1	1
61	а иной раз	1	1
62	иметь в виду	1	1
63	уже в году	2	1
64	на самом деле	1	1
65	в стихах и	1	1
66	на основе общей	1	1
67	тот или иной	1	1
68	этой точки зрения	3	1
69	можно было бы	1	1
70	так или иначе	8	1
71	в свою очередь	1	1
72	в русской литературе	3	1
73	характеризуется тем что	1	1
74	говоря уже о	1	1
75	вот в каком	1	1
76	говорил что не	1	1
77	в самом деле	1	1
78	в наше время	1	1
79	а как бы	1	1
80	не говоря уже	2	1
81	на вопрос что	1	1
82	том что он	1	1
83	может быть он	1	1
84	а не в	1	1
85	маленьких трагедий на	1	1
86	места в рамках	1	1
87	с этой точки	3	1
