N	3gram	Nazirov_Vr_1	Stilisti
1	в то же	4	9
2	то же время	4	7
3	с точки зрения	2	5
4	и то же	1	4
5	одно и то	1	4
6	в свою очередь	1	4
7	в той же	1	3
8	в конце концов	1	3
9	не забудем что	1	3
10	но об этом	1	2
11	равно как и	1	2
12	и в то	1	2
13	не было бы	1	2
14	в этом отношении	1	2
15	но в то	2	2
16	на первый взгляд	1	2
17	но при этом	1	2
18	как бы в	1	2
19	не может быть	2	2
20	связи с этим	1	2
21	о том что	1	2
22	в связи с	3	2
23	же время и	1	1
24	это дает нам	1	1
25	до сих пор	1	1
26	независимо от того	1	1
27	в каком направлении	1	1
28	вряд ли он	1	1
29	по крайней мере	1	1
30	тем что он	1	1
31	и в этом	1	1
32	и почувствовал что	1	1
33	тем не менее	1	1
34	он сказал что	1	1
35	следует искать в	1	1
36	и все же	5	1
37	и никогда не	1	1
38	заявляет о своем	1	1
39	не только не	1	1
40	и не может	1	1
41	в русской литературе	3	1
42	с другой стороны	1	1
43	они как бы	1	1
44	был похож на	1	1
45	в том что	2	1
46	из героев достоевского	1	1
