N	2gram	Voloshinov_1	Stilisti
1	и в	15	42
2	не только	5	27
3	как бы	11	27
4	и т.п	2	24
5	прежде всего	11	22
6	внутренней речи	3	18
7	хотя бы	7	17
8	но и	4	15
9	то же	7	15
10	и не	16	14
11	социального общения	1	14
12	не может	13	12
13	может быть	13	12
14	как и	6	11
15	мы уже	5	11
16	точки зрения	13	11
17	и как	1	10
18	как мы	10	10
19	в этом	13	10
20	отнюдь не	2	10
21	мы должны	7	10
22	что мы	2	10
23	при этом	7	9
24	мы не	4	9
25	то что	10	9
26	в то	6	9
27	для того	1	9
28	в себе	4	8
29	все же	5	8
30	таким образом	21	8
31	что же	4	8
32	в ней	5	8
33	и это	1	8
34	в которой	1	7
35	же время	5	7
36	того чтобы	2	7
37	потому что	4	7
38	а не	2	7
39	и от	1	7
40	и его	15	7
41	слов и	1	7
42	зависимости от	2	7
43	ничего не	2	7
44	никогда не	7	7
45	только в	6	7
46	и тем	1	7
47	в зависимости	2	7
48	и на	3	7
49	мы можем	12	7
50	с его	8	7
51	было бы	6	7
52	так как	9	7
53	в форме	1	6
54	другими словами	3	6
55	так и	10	6
56	или как	3	6
57	в нем	4	6
58	и так	1	6
59	не в	4	6
60	когда мы	1	6
61	во всех	8	6
62	речи и	1	6
63	точку зрения	4	6
64	в этой	5	6
65	точкой зрения	1	6
66	в процессе	4	6
67	мы будем	1	6
68	в области	3	6
69	или иной	1	6
70	в свою	2	6
71	же мы	1	5
72	и с	7	5
73	и наконец	10	5
74	одно и	1	5
75	слова в	1	5
76	и является	1	5
77	обратное влияние	1	5
78	в сознании	3	5
79	с помощью	9	5
80	как это	1	5
81	те же	4	5
82	в нашем	3	5
83	независимо от	1	5
84	вместе с	4	5
85	мы видели	5	5
86	слова и	2	5
87	и той	1	5
88	той же	2	5
89	в его	9	5
90	тому что	3	5
91	мы никогда	1	5
92	а в	6	5
93	с точки	10	5
94	не является	3	5
95	уже в	1	5
96	и следовательно	1	5
97	бы в	2	4
98	которой мы	3	4
99	можно сказать	4	4
100	так же	1	4
101	в обществе	2	4
102	было в	1	4
103	что это	3	4
104	то есть	1	4
105	и без	1	4
106	всех своих	1	4
107	художественного творчества	1	4
108	не знаем	1	4
109	зрения в	1	4
110	так сказать	3	4
111	влияние на	1	4
112	его в	8	4
113	внутренняя речь	1	4
114	того что	2	4
115	к своему	1	4
116	но все	2	4
117	и к	7	4
118	все время	4	4
119	в качестве	2	4
120	у нас	3	4
121	к тому	4	4
122	свою очередь	1	4
123	мы увидим	4	4
124	один из	4	4
125	а с	1	4
126	уже не	5	4
127	на это	1	4
128	не существует	3	4
129	в самом	6	4
130	с самого	7	4
131	мы видим	1	4
132	мы называем	1	4
133	словесное выражение	1	4
134	но в	9	4
135	на него	4	4
136	о том	1	4
