N	2gram	Losev_Dial_3	TeoriaLi
1	в мире	1	24
2	– это	6	20
3	не только	23	18
4	в качестве	1	17
5	тогда как	1	16
6	и не	27	16
7	– в	6	14
8	а в	2	14
9	и в	24	13
10	в частности	2	13
11	так и	5	12
12	то есть	1	12
13	может быть	13	12
14	при этом	2	11
15	в этом	8	11
16	в том	5	11
17	но не	2	10
18	и его	5	10
19	а не	26	10
20	то же	6	9
21	в его	2	9
22	что в	7	8
23	но и	9	8
24	в себе	2	7
25	точки зрения	25	7
26	по своей	1	7
27	как это	5	7
28	в то	5	7
29	себя в	2	7
30	только в	5	7
31	том что	8	7
32	в данном	2	7
33	еще не	2	6
34	же время	3	6
35	место в	1	6
36	с его	2	6
37	но в	2	6
38	как бы	3	6
39	данном случае	1	5
40	как и	7	5
41	в нем	3	5
42	не в	3	5
43	тем самым	3	5
44	того или	3	5
45	между ними	1	5
46	в ее	1	5
47	я с	1	5
48	уже не	5	5
49	в самом	7	5
50	он не	5	5
51	с другой	4	5
52	или иного	2	5
53	или иной	4	5
54	мы имеем	1	5
55	в своем	3	5
56	не знает	3	4
57	говорить о	4	4
58	можно сказать	1	4
59	но он	1	4
60	не менее	11	4
61	в их	2	4
62	субъекта и	4	4
63	хотя и	5	4
64	то что	14	4
65	конечном счете	1	4
66	мира и	3	4
67	ни в	9	4
68	сказать что	4	4
69	в слове	3	4
70	или менее	1	4
71	не может	19	4
72	более или	1	4
73	в конечном	1	4
74	по преимуществу	1	4
75	личности и	5	4
76	личности в	2	4
77	и ее	3	4
78	все эти	3	3
79	все прочие	1	3
80	с ее	1	3
81	что можно	2	3
82	к которому	1	3
83	и вот	2	3
84	о ней	2	3
85	или в	2	3
86	прежде всего	8	3
87	таким образом	13	3
88	как раз	7	3
89	а только	1	3
90	объекта и	1	3
91	так в	2	3
92	его в	1	3
93	– на	1	3
94	например в	2	3
95	для него	4	3
96	того что	12	3
97	потому что	7	3
98	в этих	1	3
99	и сам	1	3
100	и к	5	3
101	мог бы	1	3
102	на почве	1	3
103	нового времени	2	3
104	в отношении	1	3
105	и потому	2	3
106	и –	6	3
107	со своей	1	3
108	тем не	10	3
109	в основе	3	3
110	другой стороны	2	3
111	именно в	2	3
112	в сторону	1	3
113	и что	15	3
114	– не	7	3
115	никогда не	7	3
116	он должен	3	3
117	и то	4	3
118	мира в	1	3
119	перед нами	3	3
120	ни к	3	3
121	– все	3	3
122	и по	2	3
123	по своему	1	3
124	той или	2	3
125	что каждый	1	2
126	в которой	1	2
127	– как	3	2
128	или иных	1	2
129	и здесь	2	2
130	но она	3	2
131	одно и	5	2
132	внешнего мира	1	2
133	одной из	1	2
134	и тем	2	2
135	так же	4	2
136	и для	2	2
137	и больше	4	2
138	здесь не	1	2
139	перед ним	1	2
140	вовсе не	13	2
141	этом мире	1	2
142	к нему	3	2
143	в культуре	1	2
144	я и	2	2
145	право на	1	2
146	даже в	1	2
147	дело не	1	2
148	во всех	1	2
149	по себе	20	2
150	об этом	6	2
151	казалось бы	1	2
152	– и	4	2
153	другого я	1	2
154	а именно	2	2
155	нас самих	1	2
156	вместе с	1	2
157	это тоже	1	2
158	отношения к	1	2
159	жизни но	1	2
160	только не	10	2
161	и притом	5	2
162	в себя	1	2
163	для такого	2	2
164	но как	2	2
165	к тому	4	2
166	это не	4	2
167	не с	1	2
168	и о	3	2
169	из которых	3	2
170	за пределы	3	2
171	с точки	14	2
172	сама по	4	2
173	от себя	4	2
174	но –	5	2
175	имеем дело	1	2
176	это и	7	2
177	при условии	3	2
178	не на	6	2
179	в чем	4	2
180	имеет место	1	2
181	поскольку не	1	2
182	но на	2	2
183	тот или	2	2
184	и даже	13	2
185	это было	3	2
186	со стороны	2	2
187	или иначе	2	2
188	одной стороны	3	2
189	тех или	2	2
190	у него	2	2
