N	3gram	Tiupa_Lite_2	Tvorches
1	то же время	9	7
2	в то же	9	7
3	в соответствии с	1	4
4	по нашему мнению	1	4
5	по отношению к	3	3
6	не может быть	7	3
7	и не может	1	2
8	и в то	1	2
9	в отличие от	1	2
10	по крайней мере	2	2
11	на наш взгляд	3	2
12	едва ли не	4	2
13	это прежде всего	2	2
14	с другой стороны	4	2
15	и в году	1	2
16	и т п	2	2
17	о том что	2	2
18	в одном из	1	2
19	в том что	5	2
20	том что в	1	1
21	особое место в	1	1
22	нет и не	1	1
23	как и для	1	1
24	в том числе	2	1
25	есть по преимуществу	1	1
26	в этот день	1	1
27	является одним из	1	1
28	можно было бы	1	1
29	только то что	1	1
30	пред вами как	1	1
31	в первый раз	2	1
32	не могут быть	1	1
33	а с другой	1	1
34	нам представляется что	1	1
35	в свою очередь	1	1
36	той или иной	1	1
37	в целом ряде	1	1
38	кто из них	1	1
39	с большой буквы	1	1
40	в году писал	1	1
41	том что этот	1	1
42	мы не можем	1	1
43	теперь же он	1	1
44	ничего общего с	1	1
45	в конечном счете	5	1
46	в частности в	1	1
47	в русской литературе	2	1
48	том числе и	1	1
49	а во второй	1	1
50	и прежде всего	1	1
51	не так как	2	1
