N	3gram	Vygotskiy__5	UchenyiS
1	в конечном счете	1	4
2	не может быть	2	4
3	с другой стороны	5	3
4	и в этой	1	2
5	в этом смысле	1	2
6	и то что	3	2
7	в этом отношении	3	2
8	художественное произведение а	1	2
9	не могут быть	1	2
10	и в частности	1	2
11	в самом деле	5	2
12	в художественном произведении	1	2
13	в конце концов	2	2
14	до сих пор	5	2
15	в том что	14	2
16	то же самое	3	2
17	по крайней мере	1	2
18	в значительной мере	1	1
19	с одной стороны	12	1
20	на то что	16	1
21	они находятся в	1	1
22	более или менее	1	1
23	не только в	2	1
24	друг с другом	3	1
25	она все же	1	1
26	мы имеем в	1	1
27	то что ему	1	1
28	при таком понимании	1	1
29	сводится к следующему	1	1
30	обе эти тенденции	1	1
31	тем что он	1	1
32	все что угодно	1	1
33	можно сказать что	2	1
34	и что все	1	1
35	все же не	1	1
36	равно как и	1	1
37	в эстетический объект	1	1
38	на первый план	2	1
39	самом деле есть	1	1
40	но не могут	1	1
41	само по себе	2	1
42	нам думается что	2	1
43	только материал для	1	1
44	том что она	1	1
45	в этом случае	2	1
46	то о чем	2	1
47	с тем что	3	1
48	в данном случае	2	1
49	то что все	1	1
50	сам по себе	3	1
51	произведения искусства как	1	1
52	он может быть	1	1
