N	2gram	Losev_Vesc_1	VLabPisa
1	таким образом	8	27
2	в этом	4	26
3	и в	21	25
4	и т	19	24
5	не только	36	22
6	может быть	16	21
7	хотя бы	6	20
8	и не	29	19
9	не может	17	17
10	т е	55	17
11	т д	19	15
12	в его	2	15
13	прежде всего	9	13
14	в том	8	13
15	этом отношении	1	13
16	все это	5	12
17	как это	2	12
18	в частности	1	12
19	в силу	3	11
20	из них	4	11
21	с другой	6	11
22	в качестве	1	10
23	о том	6	10
24	об этом	3	9
25	что в	9	9
26	для него	4	9
27	но и	18	9
28	то же	6	9
29	к этому	1	9
30	все эти	3	8
31	другой стороны	2	8
32	могут быть	1	8
33	в своем	6	8
34	из этих	1	7
35	как и	8	7
36	говорит о	1	7
37	же в	1	7
38	не было	1	7
39	во всех	2	7
40	вместе с	1	7
41	а не	19	7
42	было бы	14	7
43	том что	8	7
44	главным образом	1	6
45	в себе	14	6
46	и его	2	6
47	так и	3	6
48	в нем	2	6
49	у него	2	6
50	идеи и	3	6
51	бы и	5	6
52	это не	5	6
53	то что	27	6
54	это и	6	6
55	в то	3	6
56	или менее	1	6
57	более или	1	6
58	в зависимости	1	6
59	их в	3	6
60	приводит к	1	5
61	все же	4	5
62	не в	5	5
63	зависимости от	1	5
64	сказать что	17	5
65	один из	3	5
66	на основе	1	5
67	очевидно что	1	5
68	действительности и	5	5
69	тому что	2	5
70	только в	14	5
71	в результате	3	5
72	и есть	26	5
73	не является	1	5
74	в пределах	1	5
75	как бы	12	5
76	можно сказать	6	4
77	как раз	9	4
78	в своей	5	4
79	вот почему	3	4
80	в одном	2	4
81	чем же	3	4
82	в ее	7	4
83	в нашей	1	4
84	это только	1	4
85	никогда не	2	4
86	утверждать что	1	4
87	перед нами	2	4
88	что все	2	4
89	в философии	5	4
90	с ними	3	4
91	одна из	5	4
92	равно как	2	4
93	в этой	3	4
94	когда он	1	4
95	в самом	9	4
96	для его	1	4
97	к тому	3	4
98	познания в	1	4
99	с его	1	4
100	должен быть	2	4
101	что он	1	4
102	момент в	6	3
103	со своим	7	3
