N	2gram	Potebnia_M_3	VelikijI
1	и не	15	20
2	и в	30	16
3	так как	13	9
4	то что	18	9
5	еще не	5	8
6	в истории	1	8
7	что они	2	7
8	а не	15	7
9	и потому	4	7
10	человека и	5	6
11	не есть	17	6
12	но и	19	5
13	того что	18	5
14	хотя и	1	5
15	в мире	1	5
16	все это	4	5
17	что есть	2	5
18	как бы	3	5
19	и есть	3	4
20	в образе	3	4
21	говорить о	3	4
22	в его	4	4
23	и я	1	4
24	в этом	10	4
25	что он	6	4
26	потому что	46	4
27	в нем	9	4
28	так и	11	4
29	что все	3	4
30	что не	8	4
31	как и	10	4
32	что мы	8	4
33	в котором	4	4
34	в ней	8	4
35	в силах	1	4
36	и все	3	4
37	все что	4	4
38	от этого	2	3
39	и что	10	3
40	должна быть	1	3
41	за то	1	3
42	нас и	1	3
43	то это	6	3
44	лишь в	1	3
45	в чем	3	3
46	с его	1	3
47	во всех	1	3
48	мы же	1	3
49	что и	13	3
50	в том	32	3
51	тот же	1	3
52	но в	1	3
53	по этому	1	3
54	все эти	1	3
55	его во	1	3
56	за ним	3	3
57	их в	2	3
58	в своей	2	3
59	и мы	2	3
60	в жизни	1	3
61	ни в	2	3
62	в них	5	3
63	не было	4	3
64	должно быть	5	3
65	если не	4	3
66	в этих	1	3
67	в первый	1	3
68	что я	5	3
69	не в	15	3
70	к чему	1	3
71	любовь к	1	3
72	тому что	3	3
73	но это	6	3
74	не имеет	6	3
75	первый раз	1	3
76	превращается в	1	3
77	к тому	7	3
78	жизни и	2	3
79	что в	17	3
80	оно не	4	3
81	а между	2	2
82	и это	4	2
83	того чтобы	3	2
84	и то	8	2
85	не имел	1	2
86	но мы	2	2
87	и т	5	2
88	его не	1	2
89	мы не	9	2
90	когда в	2	2
91	в последнем	3	2
92	с ним	6	2
93	под этим	1	2
94	так для	1	2
95	к нам	1	2
96	между тем	9	2
97	я думаю	2	2
98	жизни все	1	2
99	нет и	1	2
100	вслед за	3	2
101	которые не	1	2
102	не с	1	2
103	нас за	1	2
104	на нас	2	2
105	его к	2	2
106	только в	21	2
107	конечно не	1	2
108	уже не	6	2
109	не только	21	2
110	его и	1	2
111	для человечества	1	2
112	для него	9	2
113	не к	4	2
114	в прошлом	1	2
115	под конец	1	2
116	тем что	7	2
117	на том	1	2
118	не будет	3	2
119	это не	1	2
120	т д	3	2
121	а с	2	2
122	и люди	1	2
123	прежде всего	3	2
124	люди не	1	2
125	все равно	4	2
126	с тем	7	2
127	один из	4	2
128	для человека	4	2
129	и тогда	3	2
130	я говорю	1	2
131	не могут	5	2
132	значения и	1	2
133	самого себя	3	2
134	да и	1	2
135	уже на	2	2
136	том что	18	2
137	а к	3	2
138	для нас	20	2
139	от него	2	2
140	в форме	2	2
141	и теперь	6	2
142	ее в	1	2
143	есть уже	11	2
144	до того	4	2
145	людей и	2	2
146	давно уже	1	2
147	а в	12	2
148	но не	7	2
149	могут быть	3	2
150	во всяком	1	2
151	если б	5	1
152	эта идея	1	1
153	как мы	7	1
154	быть может	3	1
155	в виду	1	1
156	для себя	3	1
157	в ее	2	1
158	в словах	3	1
159	и говорит	1	1
160	и до	2	1
161	свое место	2	1
162	в нашу	1	1
163	и самое	2	1
164	его связь	1	1
165	которое может	1	1
166	образование в	1	1
167	то же	23	1
168	их и	1	1
169	из всего	1	1
170	в результате	1	1
171	человеческой природы	1	1
172	это только	1	1
173	что уже	2	1
174	вопрос о	1	1
175	составные части	1	1
176	и вообще	3	1
177	нас это	1	1
178	который был	1	1
179	только это	1	1
180	находится в	1	1
181	и ее	1	1
