1	то что я	1	7
2	в том что	6	7
3	по крайней мере	6	5
4	в этом случае	1	5
5	само по себе	3	5
6	не может быть	18	5
7	о том что	1	5
8	и то что	4	4
9	тем не менее	5	4
10	и в этом	1	4
11	до сих пор	1	4
12	сам по себе	3	4
13	для того чтобы	1	4
14	только тогда когда	1	4
15	можно сказать что	2	4
16	на то что	6	4
17	от того что	4	3
18	с точки зрения	4	3
19	когда мы говорим	1	3
20	и т д	20	3
21	вместе с тем	3	3
22	во всяком случае	1	3
23	не то что	1	3
24	в то же	4	3
25	и таким образом	2	3
26	то же время	4	3
27	не только не	1	3
28	мы не можем	1	3
29	не есть только	4	3
30	что иное как	8	2
31	хотя бы и	1	2
32	и как бы	1	2
33	не что иное	8	2
34	сами по себе	1	2
35	не в том	1	2
36	между собою и	1	2
37	в том смысле	1	2
38	это не значит	1	2
39	так или иначе	2	2
40	есть то что	1	2
41	а в том	1	2
42	что и в	1	2
43	вопрос о том	1	2
44	в данном случае	2	2
45	подобно тому как	3	2
46	только потому что	1	2
47	то и другое	3	2
48	таким образом что	1	2
49	с этим последним	1	2
50	и что это	1	1
51	что я в	1	1
52	той и другой	1	1
53	дело в том	2	1
54	и не может	1	1
55	и того же	1	1
56	или что то	1	1
57	но и к	1	1
58	один из моментов	1	1
59	т д то	1	1
60	даже и в	1	1
61	то что есть	1	1
62	не только к	2	1
63	он не есть	1	1
64	если это так	2	1
65	может быть и	1	1
66	что только в	2	1
67	и та и	1	1
68	что то же	1	1
69	в том чтобы	1	1
70	к которым они	1	1
71	на что не	1	1
72	только о том	1	1
73	одного и того	1	1
74	то уже по	1	1
75	в себе никаких	1	1
76	к тому что	2	1
77	таким образом можно	1	1
78	что я называю	1	1
79	то что как	1	1
80	мы видим как	1	1
81	и не только	3	1
82	то же название	2	1
83	а в с	1	1
84	можно выразить и	1	1
85	смысле этого слова	1	1
86	как бы ни	2	1
87	так как мы	1	1
88	можно говорить о	2	1
89	не может считаться	1	1
90	на том основании	1	1
91	том смысле что	1	1
92	таким образом получается	1	1
93	можем ли мы	1	1
94	есть не что	5	1
95	и в той	1	1
96	того что мы	1	1
97	это было бы	1	1
98	о том как	2	1
99	та и другая	1	1
100	с одной стороны	1	1
101	мы говорим что	2	1
102	представим себе что	1	1
103	в свою очередь	5	1
104	речь идет о	1	1
105	она проявляется в	1	1
106	ясно также что	1	1
107	как же это	1	1
108	так что в	2	1
109	есть только а	1	1
110	и не в	1	1
111	и говорить о	1	1
112	мы не знаем	1	1
113	в себе в	1	1
114	с другой стороны	1	1
115	это однако не	1	1
116	выразить и иначе	1	1
117	и вместе с	1	1
118	заключается в том	2	1
119	что мы уже	1	1
120	в той же	1	1
121	может быть только	6	1
122	это не будет	1	1
123	мы замечаем что	1	1
124	состоит из ряда	1	1
125	точки зрения этого	1	1
126	все эти признаки	1	1
127	кроме того что	1	1
128	в то время	1	1
129	не имеет никакого	1	1
130	а не в	1	1
