N	3gram	Tiupa_Anal_2	VeschiIm
1	не может быть	1	18
2	не что иное	1	8
3	что иное как	1	8
4	в том что	6	6
5	по крайней мере	3	6
6	на то что	2	6
7	и то же	1	5
8	есть не что	1	5
9	содержит в себе	3	5
10	тем не менее	3	5
11	в свою очередь	1	5
12	одно и то	1	5
13	и то что	2	4
14	не только в	2	4
15	в то же	2	4
16	то же время	2	4
17	с точки зрения	2	4
18	подобно тому как	3	3
19	то и другое	1	3
20	можно было бы	2	3
21	более или менее	1	3
22	только то что	1	3
23	в самом деле	1	3
24	сама по себе	1	3
25	заключается в том	1	2
26	так или иначе	1	2
27	и даже не	1	2
28	можно сказать что	1	2
29	с самим собою	1	2
30	а затем и	1	2
31	к тому что	1	2
32	когда говорится о	1	2
33	этой точки зрения	1	2
34	то зачем же	1	2
35	в данном случае	5	2
36	с этой точки	1	2
37	о том что	6	1
38	а в том	1	1
39	том смысле что	1	1
40	в этом смысле	2	1
41	мы видим как	1	1
42	ни о чем	1	1
43	т е к	2	1
44	уже было сказано	1	1
45	другого и не	1	1
46	друг с другом	1	1
47	уже и не	1	1
48	в самом начале	3	1
49	зачем же нам	1	1
50	с одной стороны	4	1
51	и во всех	1	1
52	не только не	2	1
53	в этом случае	4	1
54	нельзя сказать что	1	1
55	в себе не	1	1
56	из самого себя	1	1
57	он ничего не	1	1
58	тех или иных	2	1
59	с ним самим	1	1
60	с другой стороны	2	1
61	во всех языках	1	1
62	самом деле не	1	1
63	свидетельствует о том	1	1
64	и в этом	4	1
65	хотя бы и	1	1
66	как это было	1	1
67	между прочим и	1	1
68	потому что я	1	1
69	что она не	1	1
70	как раз и	1	1
71	в том смысле	1	1
72	по природе своей	2	1
73	речь идет о	1	1
74	ответ на вопрос	1	1
75	сами по себе	1	1
76	в применении к	1	1
77	не говорит о	1	1
78	то что на	1	1
79	в отношении к	1	1
80	тот же самый	1	1
81	это было в	1	1
82	имеется в виду	1	1
