N	2gram	Tiupa_Narr_1	VeschiIm
1	не есть	3	49
2	не может	10	33
3	не только	32	31
4	может быть	25	29
5	и не	20	28
6	и в	19	26
7	то что	11	24
8	и есть	1	23
9	а не	12	20
10	в смысле	1	15
11	только в	4	14
12	по себе	5	13
13	того что	1	13
14	все же	7	12
15	и ее	2	12
16	что это	3	12
17	но и	23	12
18	есть не	1	12
19	в себя	6	12
20	сказать что	4	12
21	и то	1	12
22	было бы	4	12
23	с нею	1	11
24	таким образом	1	11
25	общения с	1	11
26	и больше	1	10
27	потому что	1	10
28	то же	4	10
29	уже не	5	10
30	есть нечто	1	10
31	в ней	3	10
32	что мы	2	10
33	как бы	4	10
34	и с	4	9
35	бы то	3	9
36	прежде всего	4	9
37	в том	18	9
38	что не	4	9
39	то ни	3	9
40	ни было	3	9
41	в самом	1	9
42	в себе	8	8
43	иное как	2	8
44	что иное	2	8
45	с ее	3	8
46	ничего не	2	8
47	не что	2	8
48	себя и	2	8
49	но это	1	8
50	говорить о	2	7
51	не будет	3	7
52	в этом	17	7
53	как раз	2	7
54	ли это	1	7
55	его в	2	7
56	и пр	1	7
57	с другими	1	7
58	в то	3	7
59	совершенно не	2	7
60	также и	1	7
61	если оно	1	7
62	себя в	5	7
63	что оно	1	7
64	от всего	1	7
65	том что	14	7
66	когда мы	2	6
67	жизни и	3	6
68	точки зрения	10	6
69	что они	3	6
70	отличается от	4	6
71	крайней мере	1	6
72	по крайней	1	6
73	с ним	1	6
74	быть только	1	6
75	и только	2	6
76	что в	3	6
77	для него	2	6
78	со стороны	9	6
79	оно есть	1	6
80	ни с	1	6
81	она не	2	6
82	в результате	2	6
83	но в	6	6
84	можно было	2	6
85	и как	5	6
86	а если	2	6
87	еще не	7	5
88	того же	1	5
89	и для	2	5
90	для себя	1	5
91	должна быть	2	5
92	не менее	3	5
93	себя с	1	5
94	отнюдь не	5	5
95	не в	14	5
96	есть всегда	2	5
97	а в	11	5
98	но не	5	5
99	в ее	3	5
100	с этой	1	5
101	это не	2	5
102	это и	3	5
103	у нас	1	5
104	в чем	1	5
105	свою очередь	3	5
