N	2gram	Vygotskiy__2	VeschiIm
1	не есть	1	49
2	не может	17	33
3	не только	12	31
4	может быть	18	29
5	и не	10	28
6	и в	32	26
7	вещи и	1	24
8	то что	21	24
9	это значит	3	22
10	значит что	3	22
11	и т	10	21
12	т д	2	20
13	а не	7	20
14	не просто	1	18
15	есть только	5	17
16	в смысле	3	15
17	и следовательно	2	15
18	только в	7	14
19	что она	16	14
20	по себе	12	13
21	и что	22	13
22	того что	8	13
23	все же	4	12
24	и ее	3	12
25	что это	8	12
26	но и	10	12
27	есть не	4	12
28	в себя	1	12
29	сказать что	7	12
30	и то	3	12
31	было бы	11	12
32	таким образом	21	11
33	что же	3	11
34	а и	1	11
35	не значит	2	10
36	и больше	1	10
37	потому что	21	10
38	то же	13	10
39	вещи как	1	10
40	уже не	1	10
41	есть нечто	2	10
42	в ней	5	10
43	что мы	1	10
44	как бы	6	10
45	и с	4	9
46	бы то	2	9
47	прежде всего	1	9
48	вещей и	2	9
49	в том	37	9
50	что не	3	9
51	то ни	2	9
52	вещи не	1	9
53	предполагает что	1	9
54	ни было	1	9
55	в самом	12	9
56	в себе	2	8
57	смысл и	2	8
58	на то	11	8
59	иное как	1	8
60	она есть	1	8
61	что иное	1	8
62	с ее	3	8
63	ничего не	4	8
64	не что	1	8
65	себя и	1	8
66	и это	4	8
67	но это	2	8
68	не будет	1	7
69	как с	1	7
70	и их	3	7
71	смысла и	1	7
72	в этом	13	7
73	как раз	5	7
74	ли это	2	7
75	его в	1	7
76	в свете	2	7
77	с другими	2	7
78	в то	5	7
79	если она	2	7
80	совершенно не	4	7
81	также и	2	7
82	если оно	3	7
83	что оно	2	7
84	так как	12	7
85	указывает на	3	7
86	том что	21	7
87	когда мы	2	6
88	одно и	1	6
89	жизни и	4	6
90	точки зрения	17	6
91	что они	7	6
92	отличается от	2	6
93	это есть	1	6
94	крайней мере	1	6
95	по крайней	1	6
96	так что	3	6
97	бы и	3	6
98	и только	2	6
99	что в	20	6
100	для него	1	6
101	но если	1	6
102	значит ли	2	6
103	относится к	3	6
104	должно быть	1	6
105	ясно что	7	6
106	со стороны	1	6
107	оно есть	1	6
108	она не	2	6
109	в результате	1	6
110	но что	2	6
111	ее не	1	6
112	но в	3	6
113	если мы	12	6
114	можно было	7	6
115	и как	7	6
116	еще не	2	5
117	должны быть	3	5
118	а есть	1	5
119	того же	2	5
120	для этого	3	5
121	и для	4	5
122	для себя	1	5
123	звук и	1	5
124	не менее	8	5
125	отнюдь не	5	5
126	не в	8	5
127	с тем	11	5
128	а в	4	5
129	но не	2	5
130	в ее	2	5
131	с этой	4	5
132	это не	2	5
133	что для	7	5
134	и тут	1	5
135	это и	1	5
136	из себя	2	5
137	в отношении	3	5
138	в чем	4	5
139	свою очередь	2	5
140	в сущности	7	5
141	тем не	4	5
142	если бы	6	5
143	одна из	1	5
144	как к	3	5
145	вообще не	1	5
146	и до	4	5
147	чем же	1	5
148	ни на	3	5
149	в свою	3	5
150	тем что	9	4
151	же время	2	4
152	его на	1	4
153	о том	6	4
154	как и	10	4
155	мы говорим	1	4
156	даже не	1	4
157	на почве	1	4
158	независимо от	1	4
159	мы не	3	4
160	во всех	3	4
161	только то	1	4
162	в их	3	4
163	точке зрения	1	4
164	то или	2	4
165	это что	1	4
166	с а	1	4
167	самый смысл	1	4
168	же не	1	4
169	оно не	2	4
170	между ними	1	4
171	быть не	1	4
172	и даже	5	4
173	что есть	1	4
174	смысле и	1	4
175	с этим	4	4
176	и о	1	4
177	говорить что	1	4
178	точка зрения	2	4
179	как только	2	4
180	в и	1	4
181	учение об	1	4
182	и мы	6	4
183	вы говорите	1	4
184	то это	3	4
185	от того	4	4
186	не существует	2	4
187	что и	17	4
188	однако не	2	4
189	с точки	10	4
190	когда я	2	4
191	с другой	3	4
192	должен быть	1	4
193	и все	4	4
194	явлением и	1	4
195	из них	4	4
196	этот вопрос	3	4
197	так чтобы	1	4
198	и более	4	4
199	в данном	4	4
