N	4gram	Losev_Prob_2	Vladivir
1	заключается в том что	2	2
2	не говоря уже о	4	2
3	или по крайней мере	3	2
4	и тем не менее	1	1
5	так или иначе но	1	1
6	что же это за	1	1
7	но тем не менее	1	1
8	что бы то ни	1	1
9	и в то же	1	1
10	уже с самого начала	2	1
11	в самом деле если	1	1
12	точно так же и	1	1
13	по крайней мере в	2	1
14	а может быть и	1	1
15	и в связи с	1	1
16	не что иное как	3	1
17	все больше и больше	1	1
18	может быть самым разнообразным	2	1
19	этому необходимо прибавить еще	1	1
20	в свое время в	1	1
21	в то время как	1	1
22	во что бы то	1	1
23	бы то ни стало	1	1
24	в связи с этим	2	1
25	как раз и является	1	1
26	дело заключается в том	1	1
27	также и то что	2	1
28	содержит в себе в	1	1
29	взятое само по себе	1	1
