N	4gram	Trubetskoy_1	formyVre
1	в то же время	2	6
2	одного и того же	3	5
3	одно и то же	1	3
4	в том числе и	1	2
5	дело в том что	1	2
6	но для того чтобы	1	2
7	в то время как	1	2
8	и в том же	1	1
9	для того чтобы быть	2	1
10	в тех случаях когда	1	1
11	до сих пор не	2	1
12	но вместе с тем	1	1
13	о которой мы говорили	2	1
14	все упомянутые до сих	1	1
15	упомянутые до сих пор	1	1
16	о которых мы говорили	3	1
17	встречаются друг с другом	1	1
18	в том что все	1	1
19	и до сих пор	1	1
20	и для того чтобы	1	1
