N	3gram	Vygotskiy__7	formyVre
1	с точки зрения	21	8
2	для того чтобы	18	7
3	не только в	1	5
4	в том же	1	4
5	в то же	1	4
6	друг с другом	2	4
7	как мы уже	1	4
8	в том числе	1	3
9	в большинстве случаев	2	3
10	мы уже говорили	1	3
11	точки зрения не	1	3
12	и в этом	1	3
13	во всех этих	1	3
14	в том что	13	3
15	и должно быть	1	2
16	это значит что	1	2
17	и во всех	1	2
18	а следовательно и	1	2
19	прежде всего в	2	2
20	друг на друга	1	2
21	потому что они	1	2
22	что в этом	2	2
23	все же в	1	2
24	в этом случае	14	2
25	до сих пор	3	2
26	в этом отношении	3	2
27	то что было	1	2
28	то же самое	5	2
29	том числе и	1	2
30	друг от друга	2	2
31	о том что	4	1
32	каждой из них	1	1
33	что ему нужно	2	1
34	со всеми ее	1	1
35	до некоторой степени	1	1
36	и вопрос о	1	1
37	с одной стороны	5	1
38	также и в	1	1
39	когда дело идет	1	1
40	по сравнению с	7	1
41	что то же	1	1
42	как и в	3	1
43	так что в	1	1
44	себя как бы	1	1
45	с другой стороны	1	1
46	но все же	1	1
47	можно сказать что	3	1
48	что и в	1	1
49	в себе в	2	1
50	больше и больше	2	1
51	к тому что	6	1
52	что он не	1	1
53	с самого начала	7	1
54	и никак не	1	1
55	это имеет место	1	1
56	же самое время	1	1
57	не могут не	2	1
58	как мы видели	3	1
59	этой точки зрения	4	1
60	в то время	2	1
61	на самом деле	2	1
62	дело идет о	1	1
63	все что ему	1	1
64	вместо того чтобы	1	1
65	все больше и	2	1
66	той или иной	1	1
67	с другом и	1	1
68	остановиться на одной	1	1
69	есть прежде всего	1	1
70	между словом и	8	1
71	же в них	1	1
72	не может быть	4	1
73	как это делают	1	1
74	о которых мы	2	1
75	вместе с тем	4	1
76	в конце концов	1	1
77	том что они	2	1
78	не до конца	2	1
79	в данном случае	5	1
80	но при этом	1	1
81	и вместе с	2	1
82	только в том	1	1
83	то время как	2	1
84	с этой точки	4	1
85	как мы увидим	1	1
86	том что он	2	1
87	в отличие от	2	1
88	находится в состоянии	1	1
89	и то же	3	1
90	от друга и	1	1
91	в свою очередь	2	1
92	по аналогии с	1	1
93	в его образе	1	1
94	одно и то	3	1
