N	2gram	Bakhtin_Pr_2	slovoVRo
1	и в	45	41
2	в нем	20	30
3	то есть	50	26
4	в романе	3	21
5	в роман	1	19
6	могут быть	4	19
7	во всех	4	17
8	не только	16	16
9	и не	42	16
10	точки зрения	19	16
11	но и	15	16
12	а не	10	15
13	то же	5	14
14	и на	7	14
15	в то	5	14
16	и его	8	14
17	в пределах	4	14
18	может быть	18	14
19	и др	4	14
20	не может	24	14
21	слова и	1	13
22	в сущности	7	13
23	в его	22	13
24	в этом	20	12
25	до конца	7	12
26	же время	3	12
27	как бы	15	12
28	авторской речи	2	11
29	так и	3	11
30	в большинстве	2	10
31	в той	3	10
32	слово в	3	10
33	себя в	2	9
34	все эти	4	9
35	таким образом	11	9
36	той или	3	9
37	иной степени	2	9
38	или иной	3	9
39	чужим словом	1	9
40	точка зрения	7	8
41	как в	4	8
42	но в	6	8
43	на его	5	8
44	с точки	9	8
45	как мы	8	8
46	в особенности	2	8
47	или в	2	8
48	с чужим	1	8
49	слова в	4	8
50	прежде всего	11	8
51	отношение к	8	7
52	все же	4	7
53	стиля и	1	7
54	чужих слов	2	7
55	в слове	1	7
56	в своей	6	7
57	не в	8	7
58	у тургенева	1	7
59	вовсе не	7	7
60	с ним	8	7
61	зрения на	5	7
62	и следовательно	7	7
63	они могут	3	7
64	все они	4	7
65	во всяком	1	7
66	того же	1	6
67	при этом	2	6
68	в плане	1	6
69	это не	3	6
70	в них	4	6
71	установка на	1	6
72	в отношении	1	6
73	только в	9	6
74	большинстве случаев	2	6
75	и даже	3	6
76	по своим	2	6
77	к чужому	1	6
78	а в	3	6
79	отношении к	1	6
80	и к	2	5
81	в самом	13	5
82	он в	1	5
83	так сказать	7	5
84	с другими	7	5
85	далеко не	4	5
86	все это	5	5
87	в основе	2	5
88	со своим	1	5
89	не на	4	5
90	подхода к	1	5
91	и мир	5	5
92	к нему	11	5
93	слово как	1	5
94	как его	2	5
95	точек зрения	3	5
96	с другой	1	5
97	и непосредственно	1	5
98	еще более	1	5
99	почти вовсе	3	5
100	романа и	4	5
101	на своем	1	5
102	ту же	1	4
103	одним из	3	4
104	на мир	2	4
105	единым и	1	4
106	в ней	7	4
107	меньшей степени	2	4
108	еще не	9	4
109	с его	8	4
110	за пределы	5	4
111	перед нами	4	4
112	и наконец	1	4
113	в которой	2	4
114	но именно	1	4
115	всех этих	1	4
116	не как	6	4
117	у толстого	1	4
118	дистанции между	1	4
119	в каждом	4	4
120	и с	7	4
121	лишь в	2	4
122	входит в	9	4
123	на почве	4	4
124	как и	14	4
125	автора и	2	4
126	в прямых	1	4
127	в их	4	4
128	к предмету	1	4
129	в процессе	2	4
130	и для	2	4
131	лежит в	2	4
132	с ее	3	4
133	жанра в	1	4
134	ничего не	3	4
135	оценок и	1	4
136	автор не	4	4
137	о нем	6	4
138	прямо и	1	4
139	все его	3	4
140	единого и	1	4
141	большей или	1	4
142	один из	2	4
143	с одной	1	4
144	рядом с	3	4
145	или меньшей	1	4
146	и все	1	4
147	там где	6	4
148	и потому	6	4
149	мы сказали	3	4
150	и формы	1	4
151	и от	3	4
152	и единственного	1	4
153	в смысле	2	4
154	кроме того	1	4
155	здесь в	2	4
156	другой стороны	1	4
157	в первом	1	3
158	в зависимости	3	3
159	единство и	1	3
160	эта форма	2	3
161	зависимости от	3	3
162	следовательно в	1	3
163	данном случае	1	3
164	этого диалога	2	3
165	в своем	5	3
166	более или	1	3
167	бы и	3	3
168	момент его	1	3
169	европейского романа	3	3
170	из этих	1	3
171	является лишь	1	3
172	выражение в	3	3
173	все слова	1	3
174	в себе	5	3
175	его но	3	3
176	вообще не	1	3
177	ни были	1	3
178	и сам	3	3
179	и почти	1	3
180	его в	3	3
181	было бы	4	3
182	лишь на	2	3
183	он не	9	3
184	или менее	1	3
185	и ее	7	3
186	всей вероятности	1	3
