N	2gram	Tiupa_Disk_2	slovoVRo
1	и в	16	41
2	в нем	7	30
3	то есть	12	26
4	в романе	1	21
5	могут быть	3	19
6	во всех	1	17
7	точки зрения	4	16
8	но и	11	16
9	и не	15	16
10	не только	10	16
11	а не	14	15
12	и др	1	14
13	не может	9	14
14	то же	6	14
15	и его	3	14
16	в то	5	14
17	и на	5	14
18	может быть	16	14
19	в пределах	4	14
20	слова и	1	13
21	в его	3	13
22	в сущности	1	13
23	же время	5	12
24	языка и	1	12
25	в этом	16	12
26	до конца	1	12
27	как бы	4	12
28	так и	9	11
29	слово в	1	10
30	в большинстве	2	10
31	в той	2	10
32	все эти	3	9
33	таким образом	1	9
34	или иной	3	9
35	себя в	6	9
36	той или	3	9
37	в особенности	1	8
38	может не	1	8
39	прежде всего	7	8
40	как в	8	8
41	с точки	2	8
42	но в	11	8
43	точка зрения	1	8
44	все же	6	7
45	во всяком	1	7
46	вовсе не	1	7
47	не в	3	7
48	с ним	1	7
49	отношение к	2	7
50	в своей	6	7
51	чужой речи	1	7
52	романного жанра	2	7
53	на фоне	1	7
54	и следовательно	1	7
55	того же	2	6
56	большинстве случаев	1	6
57	к чужому	1	6
58	а в	2	6
59	оно не	1	6
60	это не	3	6
61	к своему	2	6
62	и даже	1	6
63	только в	3	6
64	установка на	1	6
65	в них	3	6
66	при этом	17	6
67	точек зрения	1	5
68	со своим	2	5
69	в каждый	1	5
70	так сказать	1	5
71	все это	2	5
72	роман и	1	5
73	еще более	1	5
74	и мир	1	5
75	не на	2	5
76	всяком случае	1	5
77	в основе	4	5
78	в самом	1	5
79	в языке	2	5
80	романа и	2	5
81	далеко не	2	5
82	с другой	5	5
83	дистанции между	1	4
84	одним из	1	4
85	с ее	2	4
86	в которой	1	4
87	там где	1	4
88	и с	2	4
89	поэзии и	1	4
90	еще не	6	4
91	и наконец	3	4
92	входит в	2	4
93	в русле	1	4
94	как и	16	4
95	и для	2	4
96	и все	3	4
97	жанра в	1	4
98	здесь в	3	4
99	речи в	2	4
100	на почве	2	4
101	лишь в	1	4
102	за пределы	1	4
103	и от	1	4
104	ничего не	1	4
105	на мир	1	4
106	одной стороны	4	4
107	другой стороны	2	4
108	по преимуществу	2	4
109	том же	1	4
110	с одной	4	4
111	в процессе	1	4
112	один из	1	4
113	чужому слову	1	4
114	не как	1	4
115	быть и	1	4
116	с его	6	4
117	известной степени	1	4
118	в ней	2	4
119	романного слова	1	4
120	перед нами	3	4
121	о нем	1	4
122	но именно	1	4
123	и там	1	3
124	и здесь	1	3
125	в свое	2	3
126	данном случае	6	3
127	из этих	3	3
128	в разных	1	3
