1	и т д	5	37
2	для того чтобы	1	21
3	в том что	1	12
4	о том что	1	12
5	тем не менее	1	8
6	не может быть	1	8
7	в широком смысле	2	7
8	в этом случае	2	6
9	до сих пор	2	5
10	и т п	23	5
11	в то же	12	5
12	то же время	12	5
13	с другой стороны	4	5
14	и в особенности	4	4
15	не только в	2	4
16	по крайней мере	1	4
17	так или иначе	1	4
18	с одной стороны	4	4
19	в данном случае	3	4
20	в отличие от	1	3
21	и в этом	2	3
22	можно было бы	2	3
23	во всяком случае	5	3
24	в этом отношении	1	3
25	в известном смысле	2	3
26	можно сказать что	1	3
27	и в том	2	3
28	но в то	4	3
29	тех или иных	1	3
30	дело в том	1	2
31	хотя бы и	3	2
32	а также и	1	2
33	не могут быть	2	2
34	с точки зрения	8	2
35	может быть и	1	2
36	большей или меньшей	4	2
37	в свое время	1	2
38	того что уже	1	2
39	одной и той	1	2
40	и той же	1	2
41	в первом случае	2	2
42	и не могут	1	2
43	это не только	1	2
44	как мы видели	1	2
45	прежде всего именно	1	1
46	так что мы	1	1
47	с известным правом	1	1
48	но и в	1	1
49	здесь таким образом	1	1
50	этой точки зрения	1	1
51	и до наших	1	1
52	в лучшем случае	2	1
53	не есть еще	1	1
54	но с другой	1	1
55	того или иного	2	1
56	в точном смысле	1	1
57	только в одном	1	1
58	но как мы	1	1
59	во всех его	7	1
60	то ни было	1	1
61	и в каждом	1	1
62	системы языка а	1	1
63	одно и то	2	1
64	себе самому и	1	1
65	свое выражение в	2	1
66	которая лежит в	1	1
67	о котором идет	1	1
68	или меньшей степени	3	1
69	известным правом можно	1	1
70	в зависимости от	3	1
71	имеет дело не	2	1
72	в значительной степени	1	1
73	имеем в виду	1	1
74	к тому что	2	1
75	то или иное	1	1
76	но в этом	1	1
77	а между тем	2	1
78	эта установка на	1	1
79	дело не с	2	1
80	с этой точки	1	1
81	языка как такового	1	1
82	мы имеем в	1	1
83	до наших дней	1	1
84	же время в	1	1
85	в большей или	3	1
86	том что между	1	1
87	на одной из	1	1
88	как мы уже	2	1
89	находит свое выражение	1	1
90	с самого начала	1	1
91	той или иной	9	1
92	о языке и	1	1
93	уже не только	1	1
94	его отношение к	1	1
95	в свою очередь	2	1
96	в особенности в	1	1
97	может быть не	1	1
98	и прежде всего	1	1
99	в разной степени	1	1
100	бы то ни	1	1
101	и в чисто	2	1
102	как мы видим	1	1
103	на то или	1	1
104	науки о языке	1	1
105	но во всяком	1	1
106	не только по	1	1
107	прежде всего в	1	1
108	между ними и	1	1
109	особой точки зрения	1	1
110	т д можно	1	1
111	на задний план	1	1
112	именно для того	1	1
113	и то же	2	1
114	и не в	1	1
