N	3gram	Vygotskiy__5	slovoVRo
1	и т п	3	23
2	той или иной	2	9
3	с точки зрения	2	8
4	и т д	3	5
5	в каждый данный	1	5
6	с одной стороны	12	4
7	с другой стороны	5	4
8	каждый данный момент	1	4
9	те или иные	1	3
10	более или менее	1	3
11	в зависимости от	6	3
12	в данном случае	2	3
13	и в сущности	1	2
14	они как бы	1	2
15	друг с другом	3	2
16	и в том	1	2
17	до известной степени	1	2
18	до сих пор	5	2
19	к тому что	6	2
20	то время как	1	2
21	и в этом	1	2
22	в евгении онегине	1	2
23	и то же	3	2
24	в то время	1	2
25	того или иного	1	2
26	можно было бы	3	2
27	не только в	2	2
28	не могут быть	1	2
29	в лучшем случае	3	2
30	в этом случае	2	2
31	в том и	2	2
32	и в другом	1	2
33	а не как	1	2
34	в свою очередь	1	2
35	одно и то	3	2
36	о том что	6	1
37	в тесной связи	1	1
38	с самого начала	3	1
39	лежит в основе	1	1
40	как только он	1	1
41	одной и той	2	1
42	двух планах в	1	1
43	на нескольких примерах	1	1
44	привело к тому	1	1
45	жизни но и	1	1
46	и в частности	1	1
47	именно потому что	2	1
48	можно сказать что	2	1
49	которая могла бы	1	1
50	таким образом с	1	1
51	равно как и	1	1
52	и не в	1	1
53	не есть еще	1	1
54	может быть и	2	1
55	для того чтобы	19	1
56	у нее нет	1	1
57	на задний план	1	1
58	еще далеко не	1	1
59	или наоборот как	1	1
60	в том что	14	1
61	не может быть	2	1
62	он может быть	1	1
63	этой точки зрения	1	1
64	и той же	2	1
65	не только не	4	1
66	собой в его	1	1
67	было бы его	1	1
68	не вносит в	1	1
69	мы все время	1	1
70	в отличие от	2	1
71	именно для того	1	1
72	то есть не	1	1
73	то или иное	1	1
74	в этом отношении	3	1
75	оно конечно совершенно	1	1
76	не могло быть	1	1
77	мы имеем в	1	1
78	как раз те	1	1
79	тесной связи с	1	1
80	быть отнесены к	1	1
81	которых мы говорили	1	1
82	о которых мы	2	1
83	но во всяком	1	1
84	и потому как	1	1
85	мы видим что	3	1
86	то есть к	1	1
87	в эстетический объект	1	1
88	прямо сказать что	1	1
89	дело в том	1	1
90	между романом и	1	1
91	себя и свою	1	1
92	для этого поэт	1	1
93	в двух планах	3	1
94	самого начала в	1	1
95	между собой в	1	1
96	могут быть отнесены	1	1
97	если бы мы	2	1
98	он никогда не	1	1
99	каждый из этих	1	1
100	мы все же	3	1
101	с этой точки	1	1
102	обстоит дело и	2	1
103	по крайней мере	1	1
104	в процессе творчества	1	1
105	между ними и	1	1
106	образом с одной	1	1
