N	2gram	Bakhtin_Fr_6	slovoVRo
1	в романе	2	46
2	и в	41	39
3	может быть	2	37
4	и его	13	33
5	то есть	24	26
6	не только	10	24
7	и не	3	22
8	но и	13	21
9	не может	4	20
10	в нем	16	19
11	до конца	2	17
12	в этом	12	16
13	все это	11	16
14	так и	5	15
15	а не	2	14
16	как в	4	13
17	в пределах	1	13
18	во всех	17	12
19	в истории	2	11
20	вовсе не	7	10
21	к своему	1	9
22	и с	16	9
23	не в	4	9
24	рыцарский роман	1	9
25	словом и	1	8
26	таким образом	17	8
27	себя в	2	8
28	прежде всего	10	8
29	слова и	1	8
30	точки зрения	2	8
31	еще не	1	7
32	с его	5	7
33	в него	3	7
34	при этом	3	7
35	в этих	2	7
36	для него	1	7
37	с ним	4	7
38	никогда не	8	7
39	могут быть	1	7
40	как мы	12	7
41	язык и	1	7
42	в его	7	7
43	и даже	4	7
44	и потому	2	7
45	как бы	7	7
46	в сущности	8	6
47	но не	2	6
48	в своем	5	6
49	все же	4	6
50	и к	1	6
51	но в	8	6
52	все эти	11	6
53	удельный вес	1	6
54	так сказать	2	6
55	значительной степени	1	6
56	в них	7	6
57	как и	7	6
58	в значительной	2	6
59	в большинстве	4	6
60	там где	5	6
61	жизни и	3	6
62	например в	6	5
63	человека в	1	5
64	это не	1	5
65	том что	7	5
66	по себе	1	5
67	не могут	2	5
68	но все	1	5
69	той или	1	5
70	мира и	2	5
71	с другой	4	5
72	романа в	3	5
73	один из	6	5
74	в том	2	5
75	с ними	1	5
76	с одной	4	5
77	конечно не	3	5
78	уже не	1	5
79	и их	3	5
80	одной стороны	4	5
81	или иной	1	5
82	большинстве случаев	5	5
83	в плане	3	5
84	и для	3	5
85	только в	3	5
86	для нас	2	5
87	от него	2	5
88	и все	9	5
89	и наконец	4	5
90	в зависимости	1	4
91	его не	1	4
92	и на	9	4
93	по отношению	1	4
94	отношение к	1	4
95	словом в	1	4
96	сливается с	1	4
97	связанные с	1	4
98	всех этих	2	4
99	в узком	1	4
100	то же	5	4
101	его в	1	4
102	с другими	3	4
103	ни в	1	4
104	в отношении	1	4
105	и языка	1	4
106	не менее	1	4
107	в то	6	4
108	одна из	1	4
109	в основе	4	4
110	же время	5	4
111	во всем	5	4
112	зависимости от	1	4
113	здесь не	1	4
114	для этого	2	4
115	но здесь	2	4
116	борьба с	4	4
117	поэтому и	3	4
118	для всех	1	4
119	и других	1	4
120	так как	10	4
121	и др	10	4
122	себя и	1	4
123	с помощью	6	4
124	на фоне	1	4
125	xix века	1	4
126	в той	5	4
127	в основном	1	4
128	в смысле	1	4
129	а в	4	4
130	в эпосе	2	4
131	отношению к	1	4
132	в таком	1	4
133	ту же	1	3
134	как это	2	3
135	должна быть	2	3
136	той же	5	3
137	человека и	2	3
138	говорить о	2	3
139	роман в	1	3
140	в чем	3	3
141	можно прямо	2	3
142	стороны и	2	3
143	перед нами	3	3
144	и как	4	3
145	борьбы с	1	3
146	на этом	2	3
147	лишь в	2	3
148	с точки	2	3
149	не столько	1	3
150	точку зрения	1	3
151	связи с	2	3
