N	2gram	Vygotskiy__7	slovoVRo
1	и в	26	39
2	может быть	7	37
3	и т	1	35
4	и его	12	33
5	не только	24	24
6	и не	18	22
7	но и	11	21
8	не может	11	20
9	в нем	2	19
10	до конца	5	17
11	в этом	29	16
12	все это	3	16
13	его слово	1	15
14	так и	3	15
15	а не	6	14
16	как в	4	13
17	отличие от	2	13
18	слова в	5	13
19	в процессе	5	13
20	во всех	6	12
21	в отличие	2	12
22	вовсе не	2	10
23	и с	5	9
24	не в	4	9
25	языка и	1	9
26	прежде всего	7	8
27	таким образом	23	8
28	точки зрения	28	8
29	слова и	10	8
30	словом и	10	8
31	еще не	4	7
32	при этом	1	7
33	с ним	3	7
34	языка как	1	7
35	для него	3	7
36	никогда не	4	7
37	в его	4	7
38	в этих	2	7
39	и потому	3	7
40	могут быть	2	7
41	как мы	14	7
42	как бы	6	7
43	все эти	6	6
44	все же	6	6
45	как и	15	6
46	в большинстве	2	6
47	там где	1	6
48	язык в	1	6
49	но не	3	6
50	этом случае	14	6
51	и к	7	6
52	в слове	11	6
53	в них	1	6
54	так сказать	1	6
55	она не	5	6
56	удельный вес	1	6
57	но в	4	6
58	в своем	1	6
59	в сущности	9	6
60	для нас	2	5
61	и наконец	4	5
62	и для	5	5
63	мышления и	9	5
64	или иной	1	5
65	большинстве случаев	2	5
66	и все	1	5
67	по себе	3	5
68	например в	1	5
69	слово и	9	5
70	но все	1	5
71	и слова	6	5
72	это не	3	5
73	только в	8	5
74	в том	18	5
75	один из	2	5
76	одной стороны	5	5
77	остается в	1	5
78	не могут	4	5
79	с другой	4	5
80	слова его	1	5
81	с одной	5	5
82	и их	5	5
83	конечно не	1	5
84	со словом	1	5
85	том что	17	5
86	той или	1	5
87	языка но	1	4
88	входит в	2	4
89	не менее	4	4
90	наконец в	2	4
91	в то	3	4
92	с помощью	13	4
93	в смысле	6	4
94	с другими	3	4
95	отношении к	1	4
96	остается вне	1	4
97	а в	2	4
98	его в	2	4
99	слова к	5	4
100	в отношении	2	4
101	отношение к	2	4
102	отношения к	2	4
103	дело с	1	4
104	в таком	1	4
105	в той	4	4
106	то же	8	4
107	и других	2	4
108	зависимости от	1	4
